Dataset,Model,Precision@10,Recall@10,F1@10,NDCG@10,RMSE,MAE,Execution_Time_s,Num_Predictions
10k,1 - Sklearn TF-IDF,0.0093,0.093,0.0169,0.0645,1.181,0.9183,0.29,430
10k,2 - Gensim Doc2Vec,0.0116,0.093,0.0204,0.0353,1.1217,0.8513,1.42,430
10k,3 - CF NMF,0.0163,0.1628,0.0296,0.0575,3.0851,2.809,0.07,430
10k,4 - Hybrid CF+CBF,0.0023,0.0233,0.0042,0.0116,1.8338,1.6229,0.05,430
10k,5 - TensorFlow DL,0.1333,0.7692,0.2196,0.7598,0.9568,0.7804,2.8,71
40k,1 - Sklearn TF-IDF,0.0042,0.0401,0.0076,0.0221,1.207,0.8972,4.87,4490
40k,2 - Gensim Doc2Vec,0.0029,0.029,0.0053,0.0109,1.1178,0.8485,8.0,4490
40k,3 - CF NMF,0.0136,0.1336,0.0246,0.0656,3.0641,2.8197,0.73,4490
40k,4 - Hybrid CF+CBF,0.0087,0.0846,0.0157,0.0377,1.8023,1.621,0.85,4490
40k,5 - TensorFlow DL,0.1586,0.8258,0.2523,0.7983,1.0163,0.8182,4.11,984
100k,1 - Sklearn TF-IDF,0.002,0.0193,0.0036,0.0081,1.1371,0.8175,30.81,14510
100k,2 - Gensim Doc2Vec,0.0021,0.0207,0.0039,0.0099,1.0913,0.8281,25.26,14510
100k,3 - CF NMF,0.0232,0.2102,0.0415,0.1308,3.057,2.8171,2.42,14510
100k,4 - Hybrid CF+CBF,0.0165,0.153,0.0296,0.0825,1.7938,1.6127,2.07,14510
100k,5 - TensorFlow DL,0.1914,0.872,0.291,0.8461,0.982,0.7522,10.96,3759
